episode: 0, score: 70, average score: 70.0, best score: -inf, epsilon: 0.98, steps: 1706
episode: 23, score: 195, average score: 61.5, best score: 98.33, epsilon: 0.54, steps: 45594
episode: 24, score: 125, average score: 64.0, best score: 98.33, epsilon: 0.52, steps: 47609
episode: 25, score: -175, average score: 54.8, best score: 98.33, epsilon: 0.51, steps: 48979
episode: 26, score: 100, average score: 56.5, best score: 98.33, epsilon: 0.49, steps: 50840
episode: 27, score: -65, average score: 52.1, best score: 98.33, epsilon: 0.48, steps: 52476
episode: 28, score: 220, average score: 57.9, best score: 98.33, epsilon: 0.45, steps: 54778
episode: 29, score: -155, average score: 50.8, best score: 98.33, epsilon: 0.44, steps: 55997
episode: 30, score: 500, average score: 65.3, best score: 98.33, epsilon: 0.41, steps: 59499
episode: 31, score: 400, average score: 75.8, best score: 98.33, epsilon: 0.39, steps: 61390
episode: 32, score: 180, average score: 78.9, best score: 98.33, epsilon: 0.36, steps: 64032
episode: 33, score: -35, average score: 75.6, best score: 98.33, epsilon: 0.34, steps: 65655
episode: 34, score: 205, average score: 79.3, best score: 98.33, epsilon: 0.32, steps: 67646
episode: 35, score: 60, average score: 78.8, best score: 98.33, epsilon: 0.29, steps: 70778
episode: 36, score: 40, average score: 77.7, best score: 98.33, epsilon: 0.27, steps: 72617
episode: 37, score: 70, average score: 77.5, best score: 98.33, epsilon: 0.26, steps: 74422
episode: 38, score: 210, average score: 80.9, best score: 98.33, epsilon: 0.24, steps: 76278
episode: 39, score: 190, average score: 83.6, best score: 98.33, epsilon: 0.21, steps: 78970
episode: 40, score: 60, average score: 83.0, best score: 98.33, epsilon: 0.20, steps: 80312
episode: 41, score: 120, average score: 83.9, best score: 98.33, epsilon: 0.18, steps: 82132
episode: 42, score: 90, average score: 84.1, best score: 98.33, epsilon: 0.16, steps: 83742
episode: 43, score: 250, average score: 87.8, best score: 98.33, epsilon: 0.14, steps: 86312
episode: 44, score: -170, average score: 82.1, best score: 98.33, epsilon: 0.13, steps: 87426
episode: 45, score: 15, average score: 80.7, best score: 98.33, epsilon: 0.11, steps: 89262
episode: 46, score: 75, average score: 80.5, best score: 98.33, epsilon: 0.10, steps: 91076
episode: 47, score: -110, average score: 76.6, best score: 98.33, epsilon: 0.10, steps: 92693
episode: 48, score: 180, average score: 78.7, best score: 98.33, epsilon: 0.10, steps: 94053
episode: 49, score: 45, average score: 78.0, best score: 98.33, epsilon: 0.10, steps: 95911
episode: 50, score: 85, average score: 78.1, best score: 98.33, epsilon: 0.10, steps: 97757
episode: 51, score: 25, average score: 77.1, best score: 98.33, epsilon: 0.10, steps: 99403
episode: 52, score: -60, average score: 74.5, best score: 98.33, epsilon: 0.10, steps: 101389
episode: 53, score: -285, average score: 67.9, best score: 98.33, epsilon: 0.10, steps: 103016
episode: 54, score: 5, average score: 66.7, best score: 98.33, epsilon: 0.10, steps: 104228
episode: 55, score: -60, average score: 64.5, best score: 98.33, epsilon: 0.10, steps: 106542
episode: 56, score: 90, average score: 64.9, best score: 98.33, epsilon: 0.10, steps: 108804
episode: 57, score: 120, average score: 65.9, best score: 98.33, epsilon: 0.10, steps: 110804
episode: 58, score: -95, average score: 63.1, best score: 98.33, epsilon: 0.10, steps: 112050
episode: 59, score: -15, average score: 61.8, best score: 98.33, epsilon: 0.10, steps: 114052
episode: 60, score: 0, average score: 60.8, best score: 98.33, epsilon: 0.10, steps: 116085
episode: 61, score: 225, average score: 63.5, best score: 98.33, epsilon: 0.10, steps: 118361
episode: 62, score: 80, average score: 63.7, best score: 98.33, epsilon: 0.10, steps: 120239
episode: 63, score: -105, average score: 61.1, best score: 98.33, epsilon: 0.10, steps: 122422
episode: 64, score: 245, average score: 63.9, best score: 98.33, epsilon: 0.10, steps: 124822
episode: 65, score: 35, average score: 63.5, best score: 98.33, epsilon: 0.10, steps: 127558
episode: 66, score: -40, average score: 61.9, best score: 98.33, epsilon: 0.10, steps: 129987
episode: 67, score: 280, average score: 65.1, best score: 98.33, epsilon: 0.10, steps: 132705
episode: 68, score: 85, average score: 65.4, best score: 98.33, epsilon: 0.10, steps: 135793
episode: 69, score: 80, average score: 65.6, best score: 98.33, epsilon: 0.10, steps: 137481
episode: 70, score: 40, average score: 65.3, best score: 98.33, epsilon: 0.10, steps: 139790
episode: 71, score: 155, average score: 66.5, best score: 98.33, epsilon: 0.10, steps: 142150
episode: 72, score: -55, average score: 64.9, best score: 98.33, epsilon: 0.10, steps: 143624
episode: 73, score: -150, average score: 62.0, best score: 98.33, epsilon: 0.10, steps: 144658
episode: 74, score: -100, average score: 59.8, best score: 98.33, epsilon: 0.10, steps: 145799
episode: 75, score: 60, average score: 59.8, best score: 98.33, epsilon: 0.10, steps: 147358
episode: 76, score: 20, average score: 59.3, best score: 98.33, epsilon: 0.10, steps: 149780
episode: 77, score: 120, average score: 60.1, best score: 98.33, epsilon: 0.10, steps: 152515
episode: 78, score: 130, average score: 60.9, best score: 98.33, epsilon: 0.10, steps: 154655
episode: 79, score: -55, average score: 59.5, best score: 98.33, epsilon: 0.10, steps: 156471
episode: 80, score: 30, average score: 59.1, best score: 98.33, epsilon: 0.10, steps: 158338
episode: 81, score: -100, average score: 57.2, best score: 98.33, epsilon: 0.10, steps: 160667
episode: 82, score: -135, average score: 54.9, best score: 98.33, epsilon: 0.10, steps: 163029
episode: 83, score: -145, average score: 52.5, best score: 98.33, epsilon: 0.10, steps: 165042
episode: 84, score: 20, average score: 52.1, best score: 98.33, epsilon: 0.10, steps: 166303
episode: 85, score: -105, average score: 50.3, best score: 98.33, epsilon: 0.10, steps: 167676
episode: 86, score: -215, average score: 47.2, best score: 98.33, epsilon: 0.10, steps: 169527
episode: 87, score: 105, average score: 47.9, best score: 98.33, epsilon: 0.10, steps: 171336
episode: 88, score: -15, average score: 47.2, best score: 98.33, epsilon: 0.10, steps: 172547
episode: 89, score: 265, average score: 49.6, best score: 98.33, epsilon: 0.10, steps: 175302
episode: 90, score: 215, average score: 51.4, best score: 98.33, epsilon: 0.10, steps: 177017
episode: 91, score: 0, average score: 50.9, best score: 98.33, epsilon: 0.10, steps: 178677
episode: 92, score: 240, average score: 52.9, best score: 98.33, epsilon: 0.10, steps: 181468
episode: 93, score: -175, average score: 50.5, best score: 98.33, epsilon: 0.10, steps: 183178
episode: 94, score: 230, average score: 52.4, best score: 98.33, epsilon: 0.10, steps: 185080
episode: 95, score: 300, average score: 54.9, best score: 98.33, epsilon: 0.10, steps: 187294
episode: 96, score: 125, average score: 55.7, best score: 98.33, epsilon: 0.10, steps: 189443
episode: 97, score: -10, average score: 55.0, best score: 98.33, epsilon: 0.10, steps: 191016
episode: 98, score: 25, average score: 54.7, best score: 98.33, epsilon: 0.10, steps: 193013
episode: 99, score: 165, average score: 55.8, best score: 98.33, epsilon: 0.10, steps: 195396
episode: 100, score: 435, average score: 59.5, best score: 98.33, epsilon: 0.10, steps: 198134
episode: 101, score: 255, average score: 61.5, best score: 98.33, epsilon: 0.10, steps: 200667
episode: 102, score: 85, average score: 60.6, best score: 98.33, epsilon: 0.10, steps: 202323
episode: 103, score: -45, average score: 59.8, best score: 98.33, epsilon: 0.10, steps: 203871
episode: 104, score: -115, average score: 59.8, best score: 98.33, epsilon: 0.10, steps: 205079
episode: 105, score: 245, average score: 59.7, best score: 98.33, epsilon: 0.10, steps: 206910
episode: 106, score: -60, average score: 60.2, best score: 98.33, epsilon: 0.10, steps: 208581
episode: 107, score: -160, average score: 56.9, best score: 98.33, epsilon: 0.10, steps: 209827
episode: 108, score: 190, average score: 56.5, best score: 98.33, epsilon: 0.10, steps: 211360
episode: 109, score: 90, average score: 57.2, best score: 98.33, epsilon: 0.10, steps: 213566
episode: 110, score: -75, average score: 58.1, best score: 98.33, epsilon: 0.10, steps: 215293
episode: 111, score: 365, average score: 61.5, best score: 98.33, epsilon: 0.10, steps: 218526
episode: 112, score: 155, average score: 63.8, best score: 98.33, epsilon: 0.10, steps: 221236
episode: 113, score: 115, average score: 65.5, best score: 98.33, epsilon: 0.10, steps: 223858
episode: 114, score: 40, average score: 66.8, best score: 98.33, epsilon: 0.10, steps: 225971
episode: 115, score: 30, average score: 66.5, best score: 98.33, epsilon: 0.10, steps: 227641
episode: 116, score: 115, average score: 66.3, best score: 98.33, epsilon: 0.10, steps: 229598
episode: 117, score: 30, average score: 63.0, best score: 98.33, epsilon: 0.10, steps: 231221
episode: 118, score: 95, average score: 64.5, best score: 98.33, epsilon: 0.10, steps: 233065
episode: 119, score: 65, average score: 64.0, best score: 98.33, epsilon: 0.10, steps: 234869
episode: 120, score: 55, average score: 64.0, best score: 98.33, epsilon: 0.10, steps: 236425
episode: 121, score: -105, average score: 62.0, best score: 98.33, epsilon: 0.10, steps: 237648
episode: 122, score: 40, average score: 61.5, best score: 98.33, epsilon: 0.10, steps: 239345
episode: 123, score: -45, average score: 59.0, best score: 98.33, epsilon: 0.10, steps: 240777
episode: 124, score: -45, average score: 57.4, best score: 98.33, epsilon: 0.10, steps: 242375
episode: 125, score: 150, average score: 60.6, best score: 98.33, epsilon: 0.10, steps: 244583
episode: 126, score: -5, average score: 59.5, best score: 98.33, epsilon: 0.10, steps: 246239
episode: 127, score: -115, average score: 59.0, best score: 98.33, epsilon: 0.10, steps: 247544
episode: 128, score: 150, average score: 58.4, best score: 98.33, epsilon: 0.10, steps: 249754
episode: 129, score: 15, average score: 60.0, best score: 98.33, epsilon: 0.10, steps: 251723
episode: 130, score: 350, average score: 58.5, best score: 98.33, epsilon: 0.10, steps: 254827
episode: 131, score: 105, average score: 55.6, best score: 98.33, epsilon: 0.10, steps: 257188
episode: 132, score: 65, average score: 54.5, best score: 98.33, epsilon: 0.10, steps: 259293
episode: 133, score: 410, average score: 58.9, best score: 98.33, epsilon: 0.10, steps: 261891
episode: 134, score: -15, average score: 56.7, best score: 98.33, epsilon: 0.10, steps: 263633
episode: 135, score: 0, average score: 56.1, best score: 98.33, epsilon: 0.10, steps: 265505
episode: 136, score: 0, average score: 55.7, best score: 98.33, epsilon: 0.10, steps: 267072
episode: 137, score: 45, average score: 55.5, best score: 98.33, epsilon: 0.10, steps: 269368
episode: 138, score: 40, average score: 53.8, best score: 98.33, epsilon: 0.10, steps: 272531
episode: 139, score: 120, average score: 53.0, best score: 98.33, epsilon: 0.10, steps: 274437
episode: 140, score: 40, average score: 52.9, best score: 98.33, epsilon: 0.10, steps: 275966
episode: 141, score: 35, average score: 52.0, best score: 98.33, epsilon: 0.10, steps: 277935
episode: 142, score: -25, average score: 50.9, best score: 98.33, epsilon: 0.10, steps: 279397
episode: 143, score: -145, average score: 46.9, best score: 98.33, epsilon: 0.10, steps: 281080
episode: 144, score: 15, average score: 48.8, best score: 98.33, epsilon: 0.10, steps: 282985
episode: 145, score: 45, average score: 49.0, best score: 98.33, epsilon: 0.10, steps: 284561
episode: 146, score: -80, average score: 47.5, best score: 98.33, epsilon: 0.10, steps: 286227
episode: 147, score: 20, average score: 48.8, best score: 98.33, epsilon: 0.10, steps: 288008
episode: 148, score: 45, average score: 47.5, best score: 98.33, epsilon: 0.10, steps: 290434
episode: 149, score: 95, average score: 48.0, best score: 98.33, epsilon: 0.10, steps: 292298
episode: 150, score: -75, average score: 46.4, best score: 98.33, epsilon: 0.10, steps: 294593
episode: 151, score: 240, average score: 48.5, best score: 98.33, epsilon: 0.10, steps: 296934
episode: 152, score: 220, average score: 51.3, best score: 98.33, epsilon: 0.10, steps: 298861
episode: 153, score: -10, average score: 54.0, best score: 98.33, epsilon: 0.10, steps: 300255
episode: 154, score: 15, average score: 54.1, best score: 98.33, epsilon: 0.10, steps: 302004
episode: 155, score: -45, average score: 54.3, best score: 98.33, epsilon: 0.10, steps: 303416
episode: 156, score: 20, average score: 53.6, best score: 98.33, epsilon: 0.10, steps: 305563
episode: 157, score: 70, average score: 53.1, best score: 98.33, epsilon: 0.10, steps: 307461
episode: 158, score: 155, average score: 55.6, best score: 98.33, epsilon: 0.10, steps: 309342
episode: 159, score: -80, average score: 55.0, best score: 98.33, epsilon: 0.10, steps: 310623
episode: 160, score: -170, average score: 53.2, best score: 98.33, epsilon: 0.10, steps: 311851
episode: 161, score: -115, average score: 49.9, best score: 98.33, epsilon: 0.10, steps: 313575
episode: 162, score: 75, average score: 49.8, best score: 98.33, epsilon: 0.10, steps: 314976
episode: 163, score: 240, average score: 53.2, best score: 98.33, epsilon: 0.10, steps: 317240
episode: 164, score: 295, average score: 53.8, best score: 98.33, epsilon: 0.10, steps: 319501
episode: 165, score: 240, average score: 55.8, best score: 98.33, epsilon: 0.10, steps: 321597
episode: 166, score: 455, average score: 60.8, best score: 98.33, epsilon: 0.10, steps: 324013
episode: 167, score: 145, average score: 59.4, best score: 98.33, epsilon: 0.10, steps: 325983
episode: 168, score: 130, average score: 59.9, best score: 98.33, epsilon: 0.10, steps: 327477
episode: 169, score: -155, average score: 57.5, best score: 98.33, epsilon: 0.10, steps: 328946
episode: 170, score: 85, average score: 58.0, best score: 98.33, epsilon: 0.10, steps: 330933
episode: 171, score: 140, average score: 57.8, best score: 98.33, epsilon: 0.10, steps: 332922
episode: 172, score: -30, average score: 58.0, best score: 98.33, epsilon: 0.10, steps: 334266
episode: 173, score: 40, average score: 60.0, best score: 98.33, epsilon: 0.10, steps: 336673
episode: 174, score: 240, average score: 63.4, best score: 98.33, epsilon: 0.10, steps: 338344
episode: 175, score: 60, average score: 63.4, best score: 98.33, epsilon: 0.10, steps: 340335
episode: 176, score: 300, average score: 66.2, best score: 98.33, epsilon: 0.10, steps: 341940
episode: 177, score: -5, average score: 64.9, best score: 98.33, epsilon: 0.10, steps: 343972
episode: 178, score: -65, average score: 63.0, best score: 98.33, epsilon: 0.10, steps: 345074
episode: 179, score: 25, average score: 63.8, best score: 98.33, epsilon: 0.10, steps: 347514
episode: 180, score: -55, average score: 62.9, best score: 98.33, epsilon: 0.10, steps: 349110
episode: 181, score: 45, average score: 64.3, best score: 98.33, epsilon: 0.10, steps: 350484
episode: 182, score: 115, average score: 66.8, best score: 98.33, epsilon: 0.10, steps: 352638
episode: 183, score: 95, average score: 69.2, best score: 98.33, epsilon: 0.10, steps: 354531
episode: 184, score: -5, average score: 69.0, best score: 98.33, epsilon: 0.10, steps: 356485
episode: 185, score: -25, average score: 69.8, best score: 98.33, epsilon: 0.10, steps: 357960
episode: 186, score: 80, average score: 72.8, best score: 98.33, epsilon: 0.10, steps: 359672
episode: 187, score: 180, average score: 73.5, best score: 98.33, epsilon: 0.10, steps: 362140
episode: 188, score: 5, average score: 73.7, best score: 98.33, epsilon: 0.10, steps: 363903
episode: 189, score: 55, average score: 71.6, best score: 98.33, epsilon: 0.10, steps: 365821
episode: 190, score: 225, average score: 71.7, best score: 98.33, epsilon: 0.10, steps: 367243
episode: 191, score: 190, average score: 73.6, best score: 98.33, epsilon: 0.10, steps: 370349
episode: 192, score: -175, average score: 69.5, best score: 98.33, epsilon: 0.10, steps: 371508
episode: 193, score: 445, average score: 75.7, best score: 98.33, epsilon: 0.10, steps: 374346
episode: 194, score: -5, average score: 73.3, best score: 98.33, epsilon: 0.10, steps: 376024
episode: 195, score: 90, average score: 71.2, best score: 98.33, epsilon: 0.10, steps: 378069
episode: 196, score: -205, average score: 67.9, best score: 98.33, epsilon: 0.10, steps: 379199
episode: 197, score: 140, average score: 69.4, best score: 98.33, epsilon: 0.10, steps: 381251
episode: 198, score: 100, average score: 70.2, best score: 98.33, epsilon: 0.10, steps: 382944
episode: 199, score: 195, average score: 70.5, best score: 98.33, epsilon: 0.10, steps: 385304
episode: 200, score: 10, average score: 66.2, best score: 98.33, epsilon: 0.10, steps: 387347
episode: 201, score: -15, average score: 63.5, best score: 98.33, epsilon: 0.10, steps: 388824
episode: 202, score: -25, average score: 62.4, best score: 98.33, epsilon: 0.10, steps: 390884
episode: 203, score: -95, average score: 61.9, best score: 98.33, epsilon: 0.10, steps: 393177
episode: 204, score: -100, average score: 62.0, best score: 98.33, epsilon: 0.10, steps: 395132
episode: 205, score: -170, average score: 57.9, best score: 98.33, epsilon: 0.10, steps: 396850
episode: 206, score: 265, average score: 61.1, best score: 98.33, epsilon: 0.10, steps: 399379
episode: 207, score: -15, average score: 62.6, best score: 98.33, epsilon: 0.10, steps: 401377
episode: 208, score: 200, average score: 62.7, best score: 98.33, epsilon: 0.10, steps: 403088
episode: 209, score: -185, average score: 60.0, best score: 98.33, epsilon: 0.10, steps: 404608
episode: 210, score: 205, average score: 62.8, best score: 98.33, epsilon: 0.10, steps: 406895
episode: 211, score: 65, average score: 59.8, best score: 98.33, epsilon: 0.10, steps: 409198
episode: 212, score: -85, average score: 57.4, best score: 98.33, epsilon: 0.10, steps: 410614
episode: 213, score: 50, average score: 56.7, best score: 98.33, epsilon: 0.10, steps: 412001
episode: 214, score: 215, average score: 58.5, best score: 98.33, epsilon: 0.10, steps: 414199
episode: 215, score: -15, average score: 58.0, best score: 98.33, epsilon: 0.10, steps: 415531
episode: 216, score: 255, average score: 59.4, best score: 98.33, epsilon: 0.10, steps: 417220
episode: 217, score: 100, average score: 60.1, best score: 98.33, epsilon: 0.10, steps: 418556
episode: 218, score: -15, average score: 59.0, best score: 98.33, epsilon: 0.10, steps: 420321
episode: 219, score: -145, average score: 56.9, best score: 98.33, epsilon: 0.10, steps: 421361
episode: 220, score: 230, average score: 58.6, best score: 98.33, epsilon: 0.10, steps: 423958
episode: 221, score: -15, average score: 59.5, best score: 98.33, epsilon: 0.10, steps: 425551
episode: 222, score: 260, average score: 61.8, best score: 98.33, epsilon: 0.10, steps: 427704
episode: 223, score: 25, average score: 62.5, best score: 98.33, epsilon: 0.10, steps: 429262
episode: 224, score: 430, average score: 67.2, best score: 98.33, epsilon: 0.10, steps: 431803
episode: 225, score: 180, average score: 67.5, best score: 98.33, epsilon: 0.10, steps: 433771
episode: 226, score: 260, average score: 70.2, best score: 98.33, epsilon: 0.10, steps: 435391
episode: 227, score: 110, average score: 72.4, best score: 98.33, epsilon: 0.10, steps: 437043
episode: 228, score: 230, average score: 73.2, best score: 98.33, epsilon: 0.10, steps: 439220
episode: 229, score: -80, average score: 72.2, best score: 98.33, epsilon: 0.10, steps: 440528
episode: 230, score: -60, average score: 68.2, best score: 98.33, epsilon: 0.10, steps: 441710
episode: 231, score: 110, average score: 68.2, best score: 98.33, epsilon: 0.10, steps: 443405
episode: 232, score: 20, average score: 67.8, best score: 98.33, epsilon: 0.10, steps: 445043
episode: 233, score: 25, average score: 63.9, best score: 98.33, epsilon: 0.10, steps: 446768
episode: 234, score: 15, average score: 64.2, best score: 98.33, epsilon: 0.10, steps: 448940
episode: 235, score: -115, average score: 63.0, best score: 98.33, epsilon: 0.10, steps: 450401
episode: 236, score: 5, average score: 63.1, best score: 98.33, epsilon: 0.10, steps: 451786
episode: 237, score: 290, average score: 65.5, best score: 98.33, epsilon: 0.10, steps: 454302
episode: 238, score: 685, average score: 72.0, best score: 98.33, epsilon: 0.10, steps: 457818
episode: 239, score: 230, average score: 73.1, best score: 98.33, epsilon: 0.10, steps: 460160
episode: 240, score: 150, average score: 74.2, best score: 98.33, epsilon: 0.10, steps: 462476
episode: 241, score: 60, average score: 74.5, best score: 98.33, epsilon: 0.10, steps: 464560
episode: 242, score: 135, average score: 76.0, best score: 98.33, epsilon: 0.10, steps: 466321
episode: 243, score: 60, average score: 78.1, best score: 98.33, epsilon: 0.10, steps: 468498
episode: 244, score: 110, average score: 79.0, best score: 98.33, epsilon: 0.10, steps: 470284
episode: 245, score: 130, average score: 79.9, best score: 98.33, epsilon: 0.10, steps: 472318
episode: 246, score: -70, average score: 80.0, best score: 98.33, epsilon: 0.10, steps: 473942
episode: 247, score: 195, average score: 81.8, best score: 98.33, epsilon: 0.10, steps: 475927
episode: 248, score: 355, average score: 84.8, best score: 98.33, epsilon: 0.10, steps: 478116
episode: 249, score: -90, average score: 83.0, best score: 98.33, epsilon: 0.10, steps: 479662
episode: 250, score: -25, average score: 83.5, best score: 98.33, epsilon: 0.10, steps: 480957
episode: 251, score: 30, average score: 81.4, best score: 98.33, epsilon: 0.10, steps: 483097
episode: 252, score: 25, average score: 79.5, best score: 98.33, epsilon: 0.10, steps: 484882
episode: 253, score: -15, average score: 79.4, best score: 98.33, epsilon: 0.10, steps: 486475
episode: 254, score: 150, average score: 80.8, best score: 98.33, epsilon: 0.10, steps: 488124
episode: 255, score: 255, average score: 83.8, best score: 98.33, epsilon: 0.10, steps: 490391
episode: 256, score: 15, average score: 83.7, best score: 98.33, epsilon: 0.10, steps: 491941
episode: 257, score: 135, average score: 84.3, best score: 98.33, epsilon: 0.10, steps: 493500
episode: 258, score: 190, average score: 84.7, best score: 98.33, epsilon: 0.10, steps: 495749
episode: 259, score: -45, average score: 85.0, best score: 98.33, epsilon: 0.10, steps: 497603
episode: 260, score: 165, average score: 88.4, best score: 98.33, epsilon: 0.10, steps: 499775
episode: 261, score: 205, average score: 91.6, best score: 98.33, epsilon: 0.10, steps: 502131
episode: 262, score: 285, average score: 93.7, best score: 98.33, epsilon: 0.10, steps: 505213
episode: 263, score: -150, average score: 89.8, best score: 98.33, epsilon: 0.10, steps: 507377
episode: 264, score: -105, average score: 85.8, best score: 98.33, epsilon: 0.10, steps: 509323
episode: 265, score: 140, average score: 84.8, best score: 98.33, epsilon: 0.10, steps: 511480
episode: 266, score: 15, average score: 80.4, best score: 98.33, epsilon: 0.10, steps: 512855
episode: 267, score: -155, average score: 77.4, best score: 98.33, epsilon: 0.10, steps: 514505
episode: 268, score: -30, average score: 75.8, best score: 98.33, epsilon: 0.10, steps: 516181
episode: 269, score: 285, average score: 80.2, best score: 98.33, epsilon: 0.10, steps: 518142
episode: 270, score: -220, average score: 77.2, best score: 98.33, epsilon: 0.10, steps: 519212
episode: 271, score: -60, average score: 75.2, best score: 98.33, epsilon: 0.10, steps: 520479
episode: 272, score: -65, average score: 74.8, best score: 98.33, epsilon: 0.10, steps: 522460
episode: 273, score: -5, average score: 74.3, best score: 98.33, epsilon: 0.10, steps: 524069
episode: 274, score: 320, average score: 75.2, best score: 98.33, epsilon: 0.10, steps: 526188
episode: 275, score: 100, average score: 75.5, best score: 98.33, epsilon: 0.10, steps: 527846
episode: 276, score: -180, average score: 70.8, best score: 98.33, epsilon: 0.10, steps: 529101
episode: 277, score: -95, average score: 69.8, best score: 98.33, epsilon: 0.10, steps: 530900
episode: 278, score: -40, average score: 70.1, best score: 98.33, epsilon: 0.10, steps: 532177
episode: 279, score: -90, average score: 69.0, best score: 98.33, epsilon: 0.10, steps: 533569
episode: 280, score: -45, average score: 69.0, best score: 98.33, epsilon: 0.10, steps: 535682
episode: 281, score: 125, average score: 69.8, best score: 98.33, epsilon: 0.10, steps: 537932
episode: 282, score: -75, average score: 68.0, best score: 98.33, epsilon: 0.10, steps: 539831
episode: 283, score: -10, average score: 66.9, best score: 98.33, epsilon: 0.10, steps: 541713
episode: 284, score: 140, average score: 68.3, best score: 98.33, epsilon: 0.10, steps: 544058
episode: 285, score: 40, average score: 69.0, best score: 98.33, epsilon: 0.10, steps: 546161
episode: 286, score: 10, average score: 68.3, best score: 98.33, epsilon: 0.10, steps: 547727
episode: 287, score: -170, average score: 64.8, best score: 98.33, epsilon: 0.10, steps: 549681
episode: 288, score: 135, average score: 66.1, best score: 98.33, epsilon: 0.10, steps: 552157
episode: 289, score: 25, average score: 65.8, best score: 98.33, epsilon: 0.10, steps: 554066
episode: 290, score: 80, average score: 64.3, best score: 98.33, epsilon: 0.10, steps: 555679
episode: 291, score: 205, average score: 64.5, best score: 98.33, epsilon: 0.10, steps: 557662
episode: 292, score: -205, average score: 64.2, best score: 98.33, epsilon: 0.10, steps: 559161
episode: 293, score: 115, average score: 60.9, best score: 98.33, epsilon: 0.10, steps: 561808
episode: 294, score: -165, average score: 59.3, best score: 98.33, epsilon: 0.10, steps: 563414
episode: 295, score: 85, average score: 59.2, best score: 98.33, epsilon: 0.10, steps: 565563
episode: 296, score: 275, average score: 64.0, best score: 98.33, epsilon: 0.10, steps: 567635
episode: 297, score: 240, average score: 65.0, best score: 98.33, epsilon: 0.10, steps: 569680
episode: 298, score: 215, average score: 66.2, best score: 98.33, epsilon: 0.10, steps: 571576
episode: 299, score: 215, average score: 66.4, best score: 98.33, epsilon: 0.10, steps: 573818
episode: 300, score: -100, average score: 65.3, best score: 98.33, epsilon: 0.10, steps: 575158
episode: 301, score: -105, average score: 64.4, best score: 98.33, epsilon: 0.10, steps: 576462
episode: 302, score: 280, average score: 67.5, best score: 98.33, epsilon: 0.10, steps: 578339
episode: 303, score: -30, average score: 68.1, best score: 98.33, epsilon: 0.10, steps: 579414
episode: 304, score: -85, average score: 68.2, best score: 98.33, epsilon: 0.10, steps: 581694
episode: 305, score: -50, average score: 69.5, best score: 98.33, epsilon: 0.10, steps: 583529
episode: 306, score: 45, average score: 67.2, best score: 98.33, epsilon: 0.10, steps: 585156
episode: 307, score: -40, average score: 67.0, best score: 98.33, epsilon: 0.10, steps: 586535
episode: 308, score: 180, average score: 66.8, best score: 98.33, epsilon: 0.10, steps: 587790
episode: 309, score: 90, average score: 69.5, best score: 98.33, epsilon: 0.10, steps: 589827
episode: 310, score: 425, average score: 71.8, best score: 98.33, epsilon: 0.10, steps: 592369
episode: 311, score: 80, average score: 71.9, best score: 98.33, epsilon: 0.10, steps: 594288
episode: 312, score: 85, average score: 73.6, best score: 98.33, epsilon: 0.10, steps: 596342
episode: 313, score: 75, average score: 73.8, best score: 98.33, epsilon: 0.10, steps: 598839
episode: 314, score: 380, average score: 75.5, best score: 98.33, epsilon: 0.10, steps: 601359
episode: 315, score: 15, average score: 75.8, best score: 98.33, epsilon: 0.10, steps: 603574
episode: 316, score: -5, average score: 73.2, best score: 98.33, epsilon: 0.10, steps: 604812
