nohup: ignoring input

Bad key savefig.frameon in file /home/haomingh/miniconda3/envs/shooter/lib/python3.9/site-packages/matplotlib/mpl-data/stylelib/_classic_test.mplstyle, line 421 ('savefig.frameon : True')
You probably need to get an updated matplotlibrc file from
https://github.com/matplotlib/matplotlib/blob/v3.4.3/matplotlibrc.template
or from the matplotlib source distribution

Bad key verbose.level in file /home/haomingh/miniconda3/envs/shooter/lib/python3.9/site-packages/matplotlib/mpl-data/stylelib/_classic_test.mplstyle, line 472 ('verbose.level  : silent      # one of silent, helpful, debug, debug-annoying')
You probably need to get an updated matplotlibrc file from
https://github.com/matplotlib/matplotlib/blob/v3.4.3/matplotlibrc.template
or from the matplotlib source distribution

Bad key verbose.fileo in file /home/haomingh/miniconda3/envs/shooter/lib/python3.9/site-packages/matplotlib/mpl-data/stylelib/_classic_test.mplstyle, line 473 ('verbose.fileo  : sys.stdout  # a log filename, sys.stdout or sys.stderr')
You probably need to get an updated matplotlibrc file from
https://github.com/matplotlib/matplotlib/blob/v3.4.3/matplotlibrc.template
or from the matplotlib source distribution
In /home/haomingh/miniconda3/envs/shooter/lib/python3.9/site-packages/matplotlib/mpl-data/stylelib/_classic_test.mplstyle: 
The text.latex.preview rcparam was deprecated in Matplotlib 3.3 and will be removed two minor releases later.
In /home/haomingh/miniconda3/envs/shooter/lib/python3.9/site-packages/matplotlib/mpl-data/stylelib/_classic_test.mplstyle: 
The mathtext.fallback_to_cm rcparam was deprecated in Matplotlib 3.3 and will be removed two minor releases later.
In /home/haomingh/miniconda3/envs/shooter/lib/python3.9/site-packages/matplotlib/mpl-data/stylelib/_classic_test.mplstyle: Support for setting the 'mathtext.fallback_to_cm' rcParam is deprecated since 3.3 and will be removed two minor releases later; use 'mathtext.fallback : 'cm' instead.
In /home/haomingh/miniconda3/envs/shooter/lib/python3.9/site-packages/matplotlib/mpl-data/stylelib/_classic_test.mplstyle: 
The validate_bool_maybe_none function was deprecated in Matplotlib 3.3 and will be removed two minor releases later.
In /home/haomingh/miniconda3/envs/shooter/lib/python3.9/site-packages/matplotlib/mpl-data/stylelib/_classic_test.mplstyle: 
The savefig.jpeg_quality rcparam was deprecated in Matplotlib 3.3 and will be removed two minor releases later.
In /home/haomingh/miniconda3/envs/shooter/lib/python3.9/site-packages/matplotlib/mpl-data/stylelib/_classic_test.mplstyle: 
The keymap.all_axes rcparam was deprecated in Matplotlib 3.3 and will be removed two minor releases later.
In /home/haomingh/miniconda3/envs/shooter/lib/python3.9/site-packages/matplotlib/mpl-data/stylelib/_classic_test.mplstyle: 
The animation.avconv_path rcparam was deprecated in Matplotlib 3.3 and will be removed two minor releases later.
In /home/haomingh/miniconda3/envs/shooter/lib/python3.9/site-packages/matplotlib/mpl-data/stylelib/_classic_test.mplstyle: 
The animation.avconv_args rcparam was deprecated in Matplotlib 3.3 and will be removed two minor releases later.
deep
pygame 2.0.2 (SDL 2.0.16, Python 3.9.7)
Hello from the pygame community. https://www.pygame.org/contribute.html
/home/haomingh/miniconda3/envs/shooter/lib/python3.9/site-packages/gym/logger.py:34: UserWarning: [33mWARN: Box bound precision lowered by casting to float16[0m
  warnings.warn(colorize("%s: %s" % ("WARN", msg % args), "yellow"))
<__array_function__ internals>:5: VisibleDeprecationWarning: Creating an ndarray from ragged nested sequences (which is a list-or-tuple of lists-or-tuples-or ndarrays with different lengths or shapes) is deprecated. If you meant to do this, you must specify 'dtype=object' when creating the ndarray.
4
cuda:0
4
cuda:0
episode:  0 , score:  -33.760000000000375 , average score: -33.8 , best score: -inf , epsilon: 0.99 , steps:  752
episode:  63 , score:  -73.09000000000094 , average score: -28.3 , best score: -9.07 , epsilon: 0.10 , steps:  92761
episode:  64 , score:  26.799999999999997 , average score: -27.5 , best score: -9.07 , epsilon: 0.10 , steps:  93401
episode:  65 , score:  24.589999999999172 , average score: -26.7 , best score: -9.07 , epsilon: 0.10 , steps:  94483
episode:  66 , score:  46.67000000000035 , average score: -25.6 , best score: -9.07 , epsilon: 0.10 , steps:  95149
episode:  67 , score:  26.34499999999992 , average score: -24.8 , best score: -9.07 , epsilon: 0.10 , steps:  95880
episode:  68 , score:  -44.36500000000109 , average score: -25.1 , best score: -9.07 , epsilon: 0.10 , steps:  96753
episode:  69 , score:  -34.92500000000036 , average score: -25.3 , best score: -9.07 , epsilon: 0.10 , steps:  97738
episode:  70 , score:  -28.63500000000022 , average score: -25.3 , best score: -9.07 , epsilon: 0.10 , steps:  99465
episode:  71 , score:  -51.964999999999776 , average score: -25.7 , best score: -9.07 , epsilon: 0.10 , steps:  99858
episode:  72 , score:  -33.475000000000065 , average score: -25.8 , best score: -9.07 , epsilon: 0.10 , steps:  100553
episode:  73 , score:  25.044999999999217 , average score: -25.1 , best score: -9.07 , epsilon: 0.10 , steps:  101544
episode:  74 , score:  -26.154999999999845 , average score: -25.1 , best score: -9.07 , epsilon: 0.10 , steps:  102775
episode:  75 , score:  -24.9949999999997 , average score: -25.1 , best score: -9.07 , epsilon: 0.10 , steps:  103774
episode:  76 , score:  -44.59500000000002 , average score: -25.4 , best score: -9.07 , epsilon: 0.10 , steps:  104693
episode:  77 , score:  47.074999999999896 , average score: -24.4 , best score: -9.07 , epsilon: 0.10 , steps:  105278
episode:  78 , score:  -112.18999999999882 , average score: -25.6 , best score: -9.07 , epsilon: 0.10 , steps:  105716
episode:  79 , score:  -43.48500000000073 , average score: -25.8 , best score: -9.07 , epsilon: 0.10 , steps:  106413
episode:  80 , score:  20.779999999997102 , average score: -25.2 , best score: -9.07 , epsilon: 0.10 , steps:  108257
episode:  81 , score:  -34.18999999999999 , average score: -25.3 , best score: -9.07 , epsilon: 0.10 , steps:  109095
episode:  82 , score:  -42.6249999999999 , average score: -25.5 , best score: -9.07 , epsilon: 0.10 , steps:  109620
episode:  83 , score:  24.874999999999808 , average score: -24.9 , best score: -9.07 , epsilon: 0.10 , steps:  110645
episode:  84 , score:  -36.00000000000147 , average score: -25.0 , best score: -9.07 , epsilon: 0.10 , steps:  111845
episode:  85 , score:  -44.18000000000015 , average score: -25.3 , best score: -9.07 , epsilon: 0.10 , steps:  112681
episode:  86 , score:  16.14499999999995 , average score: -24.8 , best score: -9.07 , epsilon: 0.10 , steps:  113452
episode:  87 , score:  -72.20000000000057 , average score: -25.3 , best score: -9.07 , epsilon: 0.10 , steps:  113892
episode:  88 , score:  -34.110000000000234 , average score: -25.4 , best score: -9.07 , epsilon: 0.10 , steps:  114714
episode:  89 , score:  -35.39000000000009 , average score: -25.5 , best score: -9.07 , epsilon: 0.10 , steps:  115792
episode:  90 , score:  -53.18000000000028 , average score: -25.8 , best score: -9.07 , epsilon: 0.10 , steps:  116428
episode:  91 , score:  96.71000000000026 , average score: -24.5 , best score: -9.07 , epsilon: 0.10 , steps:  117086
episode:  92 , score:  66.27500000000009 , average score: -23.5 , best score: -9.07 , epsilon: 0.10 , steps:  117831
episode:  93 , score:  -44.39999999999987 , average score: -23.8 , best score: -9.07 , epsilon: 0.10 , steps:  118711
episode:  94 , score:  -23.700000000000074 , average score: -23.8 , best score: -9.07 , epsilon: 0.10 , steps:  119451
episode:  95 , score:  -36.159999999999926 , average score: -23.9 , best score: -9.07 , epsilon: 0.10 , steps:  120683
episode:  96 , score:  -23.800000000000075 , average score: -23.9 , best score: -9.07 , epsilon: 0.10 , steps:  121443
episode:  97 , score:  -52.70000000000039 , average score: -24.2 , best score: -9.07 , epsilon: 0.10 , steps:  121983
episode:  98 , score:  46.07500000000036 , average score: -23.5 , best score: -9.07 , epsilon: 0.10 , steps:  122768
episode:  99 , score:  -43.35500000000142 , average score: -23.7 , best score: -9.07 , epsilon: 0.10 , steps:  123439
... saving checkpoint ...
... saving checkpoint ...
episode:  100 , score:  -34.06000000000026 , average score: -23.7 , best score: -9.07 , epsilon: 0.10 , steps:  124251
episode:  101 , score:  16.0799999999999 , average score: -23.7 , best score: -9.07 , epsilon: 0.10 , steps:  125035
episode:  102 , score:  36.05500000000005 , average score: -23.1 , best score: -9.07 , epsilon: 0.10 , steps:  125824
episode:  103 , score:  44.959999999999894 , average score: -21.9 , best score: -9.07 , epsilon: 0.10 , steps:  126832
episode:  104 , score:  -65.99500000000194 , average score: -21.9 , best score: -9.07 , epsilon: 0.10 , steps:  128031
episode:  105 , score:  -53.2100000000006 , average score: -22.1 , best score: -9.07 , epsilon: 0.10 , steps:  128673
episode:  106 , score:  -26.035000000001226 , average score: -21.9 , best score: -9.07 , epsilon: 0.10 , steps:  129880
episode:  107 , score:  -42.73000000000017 , average score: -22.1 , best score: -9.07 , epsilon: 0.10 , steps:  130426
episode:  108 , score:  -53.98500000000163 , average score: -21.7 , best score: -9.07 , epsilon: 0.10 , steps:  131223
episode:  109 , score:  25.334999999999933 , average score: -20.6 , best score: -9.07 , epsilon: 0.10 , steps:  132156
episode:  110 , score:  -53.83500000000059 , average score: -20.7 , best score: -9.07 , epsilon: 0.10 , steps:  132923
episode:  111 , score:  34.01499999999975 , average score: -20.9 , best score: -9.07 , epsilon: 0.10 , steps:  134120
episode:  112 , score:  16.149999999999864 , average score: -20.8 , best score: -9.07 , epsilon: 0.10 , steps:  134890
episode:  113 , score:  -63.86000000000048 , average score: -21.3 , best score: -9.07 , epsilon: 0.10 , steps:  135662
episode:  114 , score:  42.629999999999875 , average score: -20.6 , best score: -9.07 , epsilon: 0.10 , steps:  137136
episode:  115 , score:  25.39499999999986 , average score: -20.1 , best score: -9.07 , epsilon: 0.10 , steps:  138057
episode:  116 , score:  70.3849999999986 , average score: -19.1 , best score: -9.07 , epsilon: 0.10 , steps:  139980
episode:  117 , score:  35.89999999999971 , average score: -18.1 , best score: -9.07 , epsilon: 0.10 , steps:  142800
episode:  118 , score:  -33.47499999999973 , average score: -18.8 , best score: -9.07 , epsilon: 0.10 , steps:  143495
episode:  119 , score:  32.124999999999964 , average score: -17.9 , best score: -9.07 , epsilon: 0.10 , steps:  145070
episode:  120 , score:  -53.50499999999961 , average score: -18.0 , best score: -9.07 , epsilon: 0.10 , steps:  145771
episode:  121 , score:  31.374999999998487 , average score: -17.3 , best score: -9.07 , epsilon: 0.10 , steps:  147496
episode:  122 , score:  16.794999999998765 , average score: -16.4 , best score: -9.07 , epsilon: 0.10 , steps:  150137
episode:  123 , score:  58.26499999999911 , average score: -16.0 , best score: -9.07 , epsilon: 0.10 , steps:  154484
episode:  124 , score:  -29.289999999999957 , average score: -16.5 , best score: -9.07 , epsilon: 0.10 , steps:  156342
episode:  125 , score:  9.674999999999937 , average score: -15.4 , best score: -9.07 , epsilon: 0.10 , steps:  158407
episode:  126 , score:  67.27500000000047 , average score: -15.1 , best score: -9.07 , epsilon: 0.10 , steps:  160952
episode:  127 , score:  6.299999999997947 , average score: -14.6 , best score: -9.07 , epsilon: 0.10 , steps:  163692
episode:  128 , score:  11.859999999999058 , average score: -14.0 , best score: -9.07 , epsilon: 0.10 , steps:  165320
episode:  129 , score:  -53.57999999999974 , average score: -14.3 , best score: -9.07 , epsilon: 0.10 , steps:  166036
episode:  130 , score:  23.11000000000002 , average score: -13.8 , best score: -9.07 , epsilon: 0.10 , steps:  167414
episode:  131 , score:  -27.65000000000036 , average score: -14.3 , best score: -9.07 , epsilon: 0.10 , steps:  168944
episode:  132 , score:  -36.13999999999999 , average score: -14.8 , best score: -9.07 , epsilon: 0.10 , steps:  170172
episode:  133 , score:  -112.64499999999987 , average score: -14.9 , best score: -9.07 , epsilon: 0.10 , steps:  170701
episode:  134 , score:  -73.60500000000079 , average score: -15.1 , best score: -9.07 , epsilon: 0.10 , steps:  171422
episode:  135 , score:  11.514999999999322 , average score: -14.4 , best score: -9.07 , epsilon: 0.10 , steps:  173119
episode:  136 , score:  33.24499999999972 , average score: -13.5 , best score: -9.07 , epsilon: 0.10 , steps:  174470
episode:  137 , score:  -27.999999999999794 , average score: -13.9 , best score: -9.07 , epsilon: 0.10 , steps:  176070
episode:  138 , score:  10.18499999999869 , average score: -12.9 , best score: -9.07 , epsilon: 0.10 , steps:  178033
episode:  139 , score:  -45.4449999999998 , average score: -12.2 , best score: -9.07 , epsilon: 0.10 , steps:  179122
episode:  140 , score:  10.209999999998782 , average score: -11.9 , best score: -9.07 , epsilon: 0.10 , steps:  181080
episode:  141 , score:  -86.7800000000007 , average score: -12.9 , best score: -9.07 , epsilon: 0.10 , steps:  182436
episode:  142 , score:  -53.790000000001015 , average score: -13.8 , best score: -9.07 , epsilon: 0.10 , steps:  183194
episode:  143 , score:  -53.55999999999979 , average score: -14.8 , best score: -9.07 , epsilon: 0.10 , steps:  183906
episode:  144 , score:  -82.48000000000086 , average score: -15.4 , best score: -9.07 , epsilon: 0.10 , steps:  184402
episode:  145 , score:  -127.27999999997427 , average score: -16.9 , best score: -9.07 , epsilon: 0.10 , steps:  203858
episode:  146 , score:  23.824999999999516 , average score: -16.1 , best score: -9.07 , epsilon: 0.10 , steps:  205093
episode:  147 , score:  23.87000000000041 , average score: -16.6 , best score: -9.07 , epsilon: 0.10 , steps:  208319
episode:  148 , score:  -62.595000000000745 , average score: -17.7 , best score: -9.07 , epsilon: 0.10 , steps:  208838
episode:  149 , score:  -102.16499999999942 , average score: -18.1 , best score: -9.07 , epsilon: 0.10 , steps:  209271
... saving checkpoint ...
... saving checkpoint ...
episode:  150 , score:  -81.7300000000004 , average score: -18.2 , best score: -9.07 , epsilon: 0.10 , steps:  209617
episode:  151 , score:  -82.67000000000021 , average score: -19.5 , best score: -9.07 , epsilon: 0.10 , steps:  210151
episode:  152 , score:  -94.9049999999999 , average score: -19.1 , best score: -9.07 , epsilon: 0.10 , steps:  211132
episode:  153 , score:  -83.46000000000112 , average score: -19.0 , best score: -9.07 , epsilon: 0.10 , steps:  211824
episode:  154 , score:  45.769999999999854 , average score: -18.8 , best score: -9.07 , epsilon: 0.10 , steps:  212670
episode:  155 , score:  -64.77499999999961 , average score: -19.0 , best score: -9.07 , epsilon: 0.10 , steps:  213625
episode:  156 , score:  -106.64499999999916 , average score: -19.6 , best score: -9.07 , epsilon: 0.10 , steps:  214954
episode:  157 , score:  14.735000000000447 , average score: -19.9 , best score: -9.07 , epsilon: 0.10 , steps:  216007
episode:  158 , score:  15.509999999999964 , average score: -18.9 , best score: -9.07 , epsilon: 0.10 , steps:  216905
episode:  159 , score:  -54.13000000000146 , average score: -18.7 , best score: -9.07 , epsilon: 0.10 , steps:  217731
episode:  160 , score:  -23.099999999999625 , average score: -18.9 , best score: -9.07 , epsilon: 0.10 , steps:  218351
episode:  161 , score:  45.375000000000135 , average score: -19.0 , best score: -9.07 , epsilon: 0.10 , steps:  219276
episode:  162 , score:  -62.604999999999855 , average score: -19.0 , best score: -9.07 , epsilon: 0.10 , steps:  219797
episode:  163 , score:  -64.61500000000129 , average score: -18.9 , best score: -9.07 , epsilon: 0.10 , steps:  220720
episode:  164 , score:  26.645000000000046 , average score: -18.9 , best score: -9.07 , epsilon: 0.10 , steps:  221391
episode:  165 , score:  -42.89500000000015 , average score: -19.6 , best score: -9.07 , epsilon: 0.10 , steps:  221970
episode:  166 , score:  62.90499999999933 , average score: -19.4 , best score: -9.07 , epsilon: 0.10 , steps:  223389
episode:  167 , score:  -35.560000000000436 , average score: -20.0 , best score: -9.07 , epsilon: 0.10 , steps:  224501
episode:  168 , score:  25.32500000000004 , average score: -19.3 , best score: -9.07 , epsilon: 0.10 , steps:  225436
episode:  169 , score:  37.230000000000096 , average score: -18.6 , best score: -9.07 , epsilon: 0.10 , steps:  225990
episode:  170 , score:  -44.17499999999968 , average score: -18.8 , best score: -9.07 , epsilon: 0.10 , steps:  226825
episode:  171 , score:  23.664999999999075 , average score: -18.0 , best score: -9.07 , epsilon: 0.10 , steps:  228092
episode:  172 , score:  14.564999999999783 , average score: -17.5 , best score: -9.07 , epsilon: 0.10 , steps:  229179
episode:  173 , score:  -26.625000000000284 , average score: -18.0 , best score: -9.07 , epsilon: 0.10 , steps:  230504
episode:  174 , score:  -63.325000000000514 , average score: -18.4 , best score: -9.07 , epsilon: 0.10 , steps:  231169
episode:  175 , score:  -33.73500000000095 , average score: -18.5 , best score: -9.07 , epsilon: 0.10 , steps:  231916
episode:  176 , score:  -73.24500000000009 , average score: -18.8 , best score: -9.07 , epsilon: 0.10 , steps:  232565
episode:  177 , score:  -56.51500000000171 , average score: -19.8 , best score: -9.07 , epsilon: 0.10 , steps:  233868
episode:  178 , score:  -43.930000000000376 , average score: -19.1 , best score: -9.07 , epsilon: 0.10 , steps:  234654
episode:  179 , score:  14.709999999999665 , average score: -18.6 , best score: -9.07 , epsilon: 0.10 , steps:  235712
episode:  180 , score:  35.8350000000001 , average score: -18.4 , best score: -9.07 , epsilon: 0.10 , steps:  236545
episode:  181 , score:  13.670000000000456 , average score: -17.9 , best score: -9.07 , epsilon: 0.10 , steps:  237811
episode:  182 , score:  56.03500000000002 , average score: -16.9 , best score: -9.07 , epsilon: 0.10 , steps:  238604
episode:  183 , score:  -25.55000000000102 , average score: -17.5 , best score: -9.07 , epsilon: 0.10 , steps:  239714
episode:  184 , score:  -91.82999999999963 , average score: -18.0 , best score: -9.07 , epsilon: 0.10 , steps:  240080
episode:  185 , score:  -72.41500000000023 , average score: -18.3 , best score: -9.07 , epsilon: 0.10 , steps:  240563
