episode: 0, score: -42.99500000000043, average score: -43.0, best score: -inf, epsilon: 1.00, steps: 599
episode: 22, score: 36.32000000000004, average score: -12.4, best score: -5.17, epsilon: 1.00, steps: 17203
episode: 23, score: 15.105000000000334, average score: -11.3, best score: -5.17, epsilon: 1.00, steps: 18182
episode: 24, score: -53.24500000000003, average score: -13.0, best score: -5.17, epsilon: 1.00, steps: 18831
episode: 25, score: -54.109999999999715, average score: -14.5, best score: -5.17, epsilon: 1.00, steps: 19653
episode: 26, score: -24.464999999999918, average score: -14.9, best score: -5.17, epsilon: 1.00, steps: 20546
episode: 27, score: 77.13000000000001, average score: -11.6, best score: -5.17, epsilon: 1.00, steps: 21120
episode: 28, score: -34.355000000001006, average score: -12.4, best score: -5.17, epsilon: 1.00, steps: 21991
episode: 29, score: -34.0649999999998, average score: -13.1, best score: -5.17, epsilon: 1.00, steps: 22804
episode: 30, score: 6.010000000000016, average score: -12.5, best score: -5.17, epsilon: 1.00, steps: 25602
episode: 31, score: -43.37499999999998, average score: -13.5, best score: -5.17, epsilon: 1.00, steps: 26277
episode: 32, score: -23.80500000000005, average score: -13.8, best score: -5.17, epsilon: 1.00, steps: 27038
episode: 33, score: 66.87000000000023, average score: -11.4, best score: -5.17, epsilon: 1.00, steps: 27664
episode: 34, score: -43.37500000000025, average score: -12.3, best score: -5.17, epsilon: 1.00, steps: 28339
episode: 35, score: 66.85499999999976, average score: -10.1, best score: -5.17, epsilon: 1.00, steps: 28968
episode: 36, score: -27.32000000000037, average score: -10.6, best score: -5.17, epsilon: 1.00, steps: 30432
episode: 37, score: 35.38000000000013, average score: -9.4, best score: -5.17, epsilon: 1.00, steps: 31356
episode: 38, score: 54.93999999999935, average score: -7.7, best score: -5.17, epsilon: 1.00, steps: 32368
episode: 39, score: 55.484999999999204, average score: -6.2, best score: -5.17, epsilon: 1.00, steps: 33271
episode: 40, score: -34.37500000000099, average score: -6.8, best score: -5.17, epsilon: 1.00, steps: 34146
episode: 41, score: 27.490000000000123, average score: -6.0, best score: -5.17, epsilon: 1.00, steps: 34648
episode: 42, score: -42.985000000000305, average score: -6.9, best score: -5.17, epsilon: 1.00, steps: 35245
episode: 43, score: -22.724999999999966, average score: -7.2, best score: -5.17, epsilon: 1.00, steps: 35790
episode: 44, score: -53.37499999999988, average score: -8.3, best score: -5.17, epsilon: 1.00, steps: 36465
episode: 45, score: -34.71000000000097, average score: -8.8, best score: -5.17, epsilon: 1.00, steps: 37407
episode: 46, score: 47.4450000000002, average score: -7.7, best score: -5.17, epsilon: 1.00, steps: 37918
episode: 47, score: 16.094999999999956, average score: -7.2, best score: -5.17, epsilon: 1.00, steps: 38699
episode: 48, score: -33.75999999999975, average score: -7.7, best score: -5.17, epsilon: 1.00, steps: 39451
episode: 49, score: -53.4250000000001, average score: -8.6, best score: -5.17, epsilon: 1.00, steps: 40136
episode: 50, score: -42.82500000000011, average score: -9.3, best score: -5.17, epsilon: 1.00, steps: 40701
episode: 51, score: -72.78500000000116, average score: -10.5, best score: -5.17, epsilon: 1.00, steps: 41258
episode: 52, score: 16.10000000000018, average score: -10.0, best score: -5.17, epsilon: 1.00, steps: 42038
episode: 53, score: -33.924999999999955, average score: -10.4, best score: -5.17, epsilon: 1.00, steps: 42823
episode: 54, score: 15.64999999999961, average score: -10.0, best score: -5.17, epsilon: 1.00, steps: 43693
episode: 55, score: 16.205000000000194, average score: -9.5, best score: -5.17, epsilon: 1.00, steps: 44452
episode: 56, score: -54.739999999999924, average score: -10.3, best score: -5.17, epsilon: 1.00, steps: 45400
episode: 57, score: -102.09999999999948, average score: -11.9, best score: -5.17, epsilon: 1.00, steps: 45820
episode: 58, score: -23.6400000000003, average score: -12.1, best score: -5.17, epsilon: 1.00, steps: 46548
episode: 59, score: -22.6700000000006, average score: -12.3, best score: -5.17, epsilon: 1.00, steps: 47082
episode: 60, score: 16.085000000000395, average score: -11.8, best score: -5.17, epsilon: 1.00, steps: 47865
episode: 61, score: -54.230000000000615, average score: -12.5, best score: -5.17, epsilon: 1.00, steps: 48711
episode: 62, score: -54.059999999999846, average score: -13.1, best score: -5.17, epsilon: 1.00, steps: 49523
episode: 63, score: -92.61000000000038, average score: -14.4, best score: -5.17, epsilon: 1.00, steps: 50045
episode: 64, score: -53.37000000000006, average score: -15.0, best score: -5.17, epsilon: 1.00, steps: 50719
episode: 65, score: 25.855000000000224, average score: -14.4, best score: -5.17, epsilon: 1.00, steps: 51548
episode: 66, score: -63.15500000000096, average score: -15.1, best score: -5.17, epsilon: 1.00, steps: 52179
episode: 67, score: -72.56000000000078, average score: -15.9, best score: -5.17, epsilon: 1.00, steps: 52691
episode: 68, score: -45.505000000000265, average score: -16.4, best score: -5.17, epsilon: 1.00, steps: 53792
episode: 69, score: 35.72500000000006, average score: -15.6, best score: -5.17, epsilon: 1.00, steps: 54647
episode: 70, score: -35.24000000000025, average score: -15.9, best score: -5.17, epsilon: 1.00, steps: 55695
episode: 71, score: -63.51500000000065, average score: -16.6, best score: -5.17, epsilon: 1.00, steps: 56398
episode: 72, score: 36.03000000000015, average score: -15.8, best score: -5.17, epsilon: 1.00, steps: 57192
episode: 73, score: -23.279999999999944, average score: -15.9, best score: -5.17, epsilon: 1.00, steps: 57848
episode: 74, score: 32.82499999999978, average score: -15.3, best score: -5.17, epsilon: 1.00, steps: 59283
episode: 75, score: 25.279999999999667, average score: -14.8, best score: -5.17, epsilon: 1.00, steps: 60227
episode: 76, score: -54.69500000000156, average score: -15.3, best score: -5.17, epsilon: 1.00, steps: 61166
episode: 77, score: -23.930000000000106, average score: -15.4, best score: -5.17, epsilon: 1.00, steps: 61952
episode: 78, score: -23.91000000000087, average score: -15.5, best score: -5.17, epsilon: 1.00, steps: 62734
episode: 79, score: -43.30999999999998, average score: -15.8, best score: -5.17, epsilon: 1.00, steps: 63396
episode: 80, score: -33.4200000000002, average score: -16.1, best score: -5.17, epsilon: 1.00, steps: 64080
episode: 81, score: -42.71499999999967, average score: -16.4, best score: -5.17, epsilon: 1.00, steps: 64623
episode: 82, score: -72.12500000000061, average score: -17.1, best score: -5.17, epsilon: 1.00, steps: 65048
episode: 83, score: 56.70499999999949, average score: -16.2, best score: -5.17, epsilon: 1.00, steps: 65707
episode: 84, score: -45.415000000000646, average score: -16.5, best score: -5.17, epsilon: 1.00, steps: 66790
episode: 85, score: 26.32999999999967, average score: -16.0, best score: -5.17, epsilon: 1.00, steps: 67524
episode: 86, score: -52.72000000000008, average score: -16.4, best score: -5.17, epsilon: 1.00, steps: 68068
episode: 87, score: 16.385000000000176, average score: -16.1, best score: -5.17, epsilon: 1.00, steps: 68791
episode: 88, score: 25.375000000000078, average score: -15.6, best score: -5.17, epsilon: 1.00, steps: 69716
episode: 89, score: -72.00000000000047, average score: -16.2, best score: -5.17, epsilon: 1.00, steps: 70116
episode: 90, score: -63.41500000000057, average score: -16.7, best score: -5.17, epsilon: 1.00, steps: 70799
episode: 91, score: 16.090000000000217, average score: -16.4, best score: -5.17, epsilon: 1.00, steps: 71581
episode: 92, score: -53.72500000000064, average score: -16.8, best score: -5.17, epsilon: 1.00, steps: 72326
episode: 93, score: -82.63500000000084, average score: -17.5, best score: -5.17, epsilon: 1.00, steps: 72853
episode: 94, score: 26.915000000000134, average score: -17.0, best score: -5.17, epsilon: 1.00, steps: 73470
episode: 95, score: 35.710000000000335, average score: -16.5, best score: -5.17, epsilon: 1.00, steps: 74328
episode: 96, score: -42.92000000000079, average score: -16.7, best score: -5.17, epsilon: 1.00, steps: 74912
episode: 97, score: -22.594999999999843, average score: -16.8, best score: -5.17, epsilon: 1.00, steps: 75431
episode: 98, score: -73.35499999999962, average score: -17.4, best score: -5.17, epsilon: 1.00, steps: 76102
episode: 99, score: 16.435000000000045, average score: -17.0, best score: -5.17, epsilon: 1.00, steps: 76815
episode: 100, score: -52.72499999999993, average score: -17.1, best score: -5.17, epsilon: 1.00, steps: 77360
episode: 101, score: -52.12999999999998, average score: -17.9, best score: -5.17, epsilon: 1.00, steps: 77786
episode: 102, score: -42.855000000000146, average score: -17.6, best score: -5.17, epsilon: 1.00, steps: 78357
episode: 103, score: 46.35000000000008, average score: -16.9, best score: -5.17, epsilon: 1.00, steps: 79087
episode: 104, score: 15.54500000000025, average score: -17.1, best score: -5.17, epsilon: 1.00, steps: 79978
episode: 105, score: -73.33500000000065, average score: -18.0, best score: -5.17, epsilon: 1.00, steps: 80645
episode: 106, score: -23.559999999999874, average score: -18.5, best score: -5.17, epsilon: 1.00, steps: 81357
episode: 107, score: -52.700000000000166, average score: -18.6, best score: -5.17, epsilon: 1.00, steps: 81897
episode: 108, score: 76.49999999999925, average score: -17.4, best score: -5.17, epsilon: 1.00, steps: 82597
episode: 109, score: 46.100000000000435, average score: -17.1, best score: -5.17, epsilon: 1.00, steps: 83377
episode: 110, score: 34.68999999999966, average score: -16.4, best score: -5.17, epsilon: 1.00, steps: 84439
episode: 111, score: -62.515000000000406, average score: -16.5, best score: -5.17, epsilon: 1.00, steps: 84942
episode: 112, score: 25.054999999999907, average score: -16.0, best score: -5.17, epsilon: 1.00, steps: 85931
episode: 113, score: -72.67500000000071, average score: -17.1, best score: -5.17, epsilon: 1.00, steps: 86466
episode: 114, score: -73.03500000000082, average score: -17.3, best score: -5.17, epsilon: 1.00, steps: 87073
episode: 115, score: -42.78000000000001, average score: -18.0, best score: -5.17, epsilon: 1.00, steps: 87629
episode: 116, score: -23.755000000000045, average score: -17.5, best score: -5.17, epsilon: 1.00, steps: 88380
episode: 117, score: -32.08499999999997, average score: -18.0, best score: -5.17, epsilon: 1.00, steps: 88797
episode: 118, score: -72.07500000000057, average score: -18.2, best score: -5.17, epsilon: 1.00, steps: 89212
episode: 119, score: -24.28500000000019, average score: -18.6, best score: -5.17, epsilon: 1.00, steps: 90069
episode: 120, score: 56.14999999999998, average score: -17.6, best score: -5.17, epsilon: 1.00, steps: 90839
episode: 121, score: -24.165000000000333, average score: -18.1, best score: -5.17, epsilon: 1.00, steps: 91672
episode: 122, score: -42.539999999999836, average score: -18.8, best score: -5.17, epsilon: 1.00, steps: 92180
episode: 123, score: 26.87000000000002, average score: -18.7, best score: -5.17, epsilon: 1.00, steps: 92806
episode: 124, score: -25.090000000000273, average score: -18.4, best score: -5.17, epsilon: 1.00, steps: 93824
episode: 125, score: -62.91500000000034, average score: -18.5, best score: -5.17, epsilon: 1.00, steps: 94407
episode: 126, score: -62.00000000000038, average score: -18.9, best score: -5.17, epsilon: 1.00, steps: 94807
episode: 127, score: -33.734999999999964, average score: -20.0, best score: -5.17, epsilon: 1.00, steps: 95554
episode: 128, score: -43.44000000000054, average score: -20.1, best score: -5.17, epsilon: 1.00, steps: 96242
episode: 129, score: -82.7200000000005, average score: -20.6, best score: -5.17, epsilon: 1.00, steps: 96786
episode: 130, score: -43.665000000000425, average score: -21.1, best score: -5.17, epsilon: 1.00, steps: 97519
episode: 131, score: -43.37500000000034, average score: -21.1, best score: -5.17, epsilon: 1.00, steps: 98194
episode: 132, score: -54.27500000000099, average score: -21.4, best score: -5.17, epsilon: 1.00, steps: 99049
episode: 133, score: 36.3300000000002, average score: -21.7, best score: -5.17, epsilon: 1.00, steps: 99783
episode: 134, score: -33.2949999999998, average score: -21.6, best score: -5.17, epsilon: 1.00, steps: 100442
episode: 135, score: -53.345000000000624, average score: -22.8, best score: -5.17, epsilon: 1.00, steps: 101111
episode: 136, score: -52.64000000000008, average score: -23.1, best score: -5.17, epsilon: 1.00, steps: 101639
episode: 137, score: -42.65000000000048, average score: -23.8, best score: -5.17, epsilon: 1.00, steps: 102169
episode: 138, score: -43.294999999999874, average score: -24.8, best score: -5.17, epsilon: 1.00, steps: 102828
episode: 139, score: 16.16999999999982, average score: -25.2, best score: -5.17, epsilon: 1.00, steps: 103594
episode: 140, score: 36.38499999999974, average score: -24.5, best score: -5.17, epsilon: 1.00, steps: 104317
episode: 141, score: -23.489999999999696, average score: -25.0, best score: -5.17, epsilon: 1.00, steps: 105015
episode: 142, score: -44.725000000000875, average score: -25.0, best score: -5.17, epsilon: 1.00, steps: 105960
episode: 143, score: -53.74000000000088, average score: -25.3, best score: -5.17, epsilon: 1.00, steps: 106708
episode: 144, score: -52.74000000000043, average score: -25.3, best score: -5.17, epsilon: 1.00, steps: 107256
episode: 145, score: -74.79500000000046, average score: -25.7, best score: -5.17, epsilon: 1.00, steps: 108215
episode: 146, score: 15.630000000000301, average score: -26.1, best score: -5.17, epsilon: 1.00, steps: 109089
episode: 147, score: 25.56500000000011, average score: -26.0, best score: -5.17, epsilon: 1.00, steps: 109976
episode: 148, score: -63.005000000000265, average score: -26.3, best score: -5.17, epsilon: 1.00, steps: 110577
episode: 149, score: -42.71499999999993, average score: -26.1, best score: -5.17, epsilon: 1.00, steps: 111120
episode: 150, score: 16.155000000000044, average score: -25.6, best score: -5.17, epsilon: 1.00, steps: 111889
episode: 151, score: 25.0799999999999, average score: -24.6, best score: -5.17, epsilon: 1.00, steps: 112873
episode: 152, score: -63.99000000000064, average score: -25.4, best score: -5.17, epsilon: 1.00, steps: 113671
episode: 153, score: -53.800000000000374, average score: -25.6, best score: -5.17, epsilon: 1.00, steps: 114431
episode: 154, score: -43.155000000000356, average score: -26.2, best score: -5.17, epsilon: 1.00, steps: 115062
episode: 155, score: -43.21000000000023, average score: -26.8, best score: -5.17, epsilon: 1.00, steps: 115704
episode: 156, score: 16.06999999999972, average score: -26.1, best score: -5.17, epsilon: 1.00, steps: 116490
episode: 157, score: -63.65000000000057, average score: -25.7, best score: -5.17, epsilon: 1.00, steps: 117220
episode: 158, score: 14.93499999999883, average score: -25.3, best score: -5.17, epsilon: 1.00, steps: 118233
episode: 159, score: -32.62499999999978, average score: -25.4, best score: -5.17, epsilon: 1.00, steps: 118758
episode: 160, score: 56.96000000000007, average score: -25.0, best score: -5.17, epsilon: 1.00, steps: 119366
episode: 161, score: -24.634999999999966, average score: -24.7, best score: -5.17, epsilon: 1.00, steps: 120293
episode: 162, score: 25.945000000000398, average score: -23.9, best score: -5.17, epsilon: 1.00, steps: 121104
episode: 163, score: -52.519999999999946, average score: -23.5, best score: -5.17, epsilon: 1.00, steps: 121608
episode: 164, score: 15.549999999999883, average score: -22.8, best score: -5.17, epsilon: 1.00, steps: 122498
episode: 165, score: -34.669999999999746, average score: -23.4, best score: -5.17, epsilon: 1.00, steps: 123432
episode: 166, score: -33.71500000000004, average score: -23.1, best score: -5.17, epsilon: 1.00, steps: 124175
episode: 167, score: 65.93499999999948, average score: -21.7, best score: -5.17, epsilon: 1.00, steps: 124988
episode: 168, score: -72.51000000000013, average score: -22.0, best score: -5.17, epsilon: 1.00, steps: 125490
episode: 169, score: -73.11000000000111, average score: -23.1, best score: -5.17, epsilon: 1.00, steps: 126112
episode: 170, score: -71.99500000000002, average score: -23.4, best score: -5.17, epsilon: 1.00, steps: 126511
episode: 171, score: -24.539999999999758, average score: -23.1, best score: -5.17, epsilon: 1.00, steps: 127419
episode: 172, score: -34.47500000000102, average score: -23.8, best score: -5.17, epsilon: 1.00, steps: 128314
episode: 173, score: -54.01000000000049, average score: -24.1, best score: -5.17, epsilon: 1.00, steps: 129116
episode: 174, score: 27.219999999999857, average score: -24.1, best score: -5.17, epsilon: 1.00, steps: 129672
episode: 175, score: -23.88500000000004, average score: -24.6, best score: -5.17, epsilon: 1.00, steps: 130449
episode: 176, score: 25.814999999999955, average score: -23.8, best score: -5.17, epsilon: 1.00, steps: 131286
episode: 177, score: -64.03000000000056, average score: -24.2, best score: -5.17, epsilon: 1.00, steps: 132092
episode: 178, score: -53.89500000000035, average score: -24.5, best score: -5.17, epsilon: 1.00, steps: 132871
episode: 179, score: -62.0200000000004, average score: -24.7, best score: -5.17, epsilon: 1.00, steps: 133275
episode: 180, score: -43.90500000000006, average score: -24.8, best score: -5.17, epsilon: 1.00, steps: 134056
episode: 181, score: 35.135000000000055, average score: -24.0, best score: -5.17, epsilon: 1.00, steps: 135029
episode: 182, score: 36.10000000000027, average score: -22.9, best score: -5.17, epsilon: 1.00, steps: 135809
episode: 183, score: -62.03499999999999, average score: -24.1, best score: -5.17, epsilon: 1.00, steps: 136216
episode: 184, score: 16.70000000000008, average score: -23.5, best score: -5.17, epsilon: 1.00, steps: 136876
episode: 185, score: -52.72000000000026, average score: -24.3, best score: -5.17, epsilon: 1.00, steps: 137420
episode: 186, score: -43.435000000000485, average score: -24.2, best score: -5.17, epsilon: 1.00, steps: 138107
episode: 187, score: 14.83500000000052, average score: -24.2, best score: -5.17, epsilon: 1.00, steps: 139140
episode: 188, score: -23.715000000000128, average score: -24.7, best score: -5.17, epsilon: 1.00, steps: 139883
episode: 189, score: 35.78000000000028, average score: -23.6, best score: -5.17, epsilon: 1.00, steps: 140727
episode: 190, score: -63.10499999999893, average score: -23.6, best score: -5.17, epsilon: 1.00, steps: 141348
episode: 191, score: -24.465000000000742, average score: -24.0, best score: -5.17, epsilon: 1.00, steps: 142241
episode: 192, score: -81.96500000000046, average score: -24.3, best score: -5.17, epsilon: 1.00, steps: 142634
episode: 193, score: -44.53499999999995, average score: -23.9, best score: -5.17, epsilon: 1.00, steps: 143541
episode: 194, score: -34.469999999999786, average score: -24.5, best score: -5.17, epsilon: 1.00, steps: 144435
episode: 195, score: -32.940000000000296, average score: -25.2, best score: -5.17, epsilon: 1.00, steps: 145023
episode: 196, score: 25.370000000000196, average score: -24.6, best score: -5.17, epsilon: 1.00, steps: 145949
episode: 197, score: 26.335000000000022, average score: -24.1, best score: -5.17, epsilon: 1.00, steps: 146682
episode: 198, score: 45.250000000000206, average score: -22.9, best score: -5.17, epsilon: 1.00, steps: 147632
episode: 199, score: -52.88000000000056, average score: -23.6, best score: -5.17, epsilon: 1.00, steps: 148208
episode: 200, score: 24.96, average score: -22.8, best score: -5.17, epsilon: 1.00, steps: 149216
episode: 201, score: -64.01000000000033, average score: -22.9, best score: -5.17, epsilon: 1.00, steps: 150018
episode: 202, score: 56.98499999999991, average score: -21.9, best score: -5.17, epsilon: 1.00, steps: 150621
episode: 203, score: -23.449999999999886, average score: -22.6, best score: -5.17, epsilon: 1.00, steps: 151311
episode: 204, score: 26.27999999999993, average score: -22.5, best score: -5.17, epsilon: 1.00, steps: 152055
episode: 205, score: 16.42500000000024, average score: -21.6, best score: -5.17, epsilon: 1.00, steps: 152770
episode: 206, score: -25.585000000000754, average score: -21.6, best score: -5.17, epsilon: 1.00, steps: 153887
episode: 207, score: 55.58500000000005, average score: -20.5, best score: -5.17, epsilon: 1.00, steps: 154770
episode: 208, score: -65.29000000000096, average score: -22.0, best score: -5.17, epsilon: 1.00, steps: 155828
episode: 209, score: -25.279999999999788, average score: -22.7, best score: -5.17, epsilon: 1.00, steps: 156884
episode: 210, score: -42.81500000000023, average score: -23.5, best score: -5.17, epsilon: 1.00, steps: 157447
episode: 211, score: -73.2550000000008, average score: -23.6, best score: -5.17, epsilon: 1.00, steps: 158098
episode: 212, score: -24.14, average score: -24.0, best score: -5.17, epsilon: 1.00, steps: 158926
episode: 213, score: -53.73999999999989, average score: -23.9, best score: -5.17, epsilon: 1.00, steps: 159674
episode: 214, score: -53.89500000000073, average score: -23.7, best score: -5.17, epsilon: 1.00, steps: 160453
episode: 215, score: 24.93000000000024, average score: -23.0, best score: -5.17, epsilon: 1.00, steps: 161467
episode: 216, score: -23.26500000000034, average score: -23.0, best score: -5.17, epsilon: 1.00, steps: 162120
episode: 217, score: -62.91000000000022, average score: -23.3, best score: -5.17, epsilon: 1.00, steps: 162702
episode: 218, score: 55.565000000000275, average score: -22.0, best score: -5.17, epsilon: 1.00, steps: 163589
episode: 219, score: 56.29500000000005, average score: -21.2, best score: -5.17, epsilon: 1.00, steps: 164330
episode: 220, score: 35.12999999999969, average score: -21.4, best score: -5.17, epsilon: 1.00, steps: 165304
episode: 221, score: -63.260000000000716, average score: -21.8, best score: -5.17, epsilon: 1.00, steps: 165956
episode: 222, score: 16.280000000000047, average score: -21.2, best score: -5.17, epsilon: 1.00, steps: 166700
episode: 223, score: -53.35000000000071, average score: -22.0, best score: -5.17, epsilon: 1.00, steps: 167370
episode: 224, score: -52.50000000000045, average score: -22.3, best score: -5.17, epsilon: 1.00, steps: 167870
episode: 225, score: 44.9650000000004, average score: -21.2, best score: -5.17, epsilon: 1.00, steps: 168877
episode: 226, score: -35.41000000000065, average score: -21.0, best score: -5.17, epsilon: 1.00, steps: 169959
episode: 227, score: 36.69500000000027, average score: -20.3, best score: -5.17, epsilon: 1.00, steps: 170620
episode: 228, score: 26.01000000000011, average score: -19.6, best score: -5.17, epsilon: 1.00, steps: 171418
episode: 229, score: 25.420000000000186, average score: -18.5, best score: -5.17, epsilon: 1.00, steps: 172334
episode: 230, score: -32.86000000000017, average score: -18.4, best score: -5.17, epsilon: 1.00, steps: 172906
episode: 231, score: -23.619999999999955, average score: -18.2, best score: -5.17, epsilon: 1.00, steps: 173630
episode: 232, score: 36.42500000000056, average score: -17.3, best score: -5.17, epsilon: 1.00, steps: 174345
episode: 233, score: 36.10000000000027, average score: -17.3, best score: -5.17, epsilon: 1.00, steps: 175125
episode: 234, score: -64.2200000000002, average score: -17.6, best score: -5.17, epsilon: 1.00, steps: 175969
episode: 235, score: 45.85000000000004, average score: -16.6, best score: -5.17, epsilon: 1.00, steps: 176799
episode: 236, score: -43.940000000000204, average score: -16.5, best score: -5.17, epsilon: 1.00, steps: 177587
episode: 237, score: 15.835000000000242, average score: -15.9, best score: -5.17, epsilon: 1.00, steps: 178420
episode: 238, score: -92.9899999999989, average score: -16.4, best score: -5.17, epsilon: 1.00, steps: 179018
episode: 239, score: -62.11500000000057, average score: -17.2, best score: -5.17, epsilon: 1.00, steps: 179441
episode: 240, score: 36.18000000000011, average score: -17.2, best score: -5.17, epsilon: 1.00, steps: 180205
episode: 241, score: -24.984999999999875, average score: -17.2, best score: -5.17, epsilon: 1.00, steps: 181202
episode: 242, score: -73.94500000000154, average score: -17.5, best score: -5.17, epsilon: 1.00, steps: 181991
episode: 243, score: 16.360000000000483, average score: -16.8, best score: -5.17, epsilon: 1.00, steps: 182719
episode: 244, score: -42.840000000000664, average score: -16.7, best score: -5.17, epsilon: 1.00, steps: 183287
episode: 245, score: 55.37000000000013, average score: -15.4, best score: -5.17, epsilon: 1.00, steps: 184213
episode: 246, score: 55.734999999999346, average score: -15.0, best score: -5.17, epsilon: 1.00, steps: 185066
episode: 247, score: -44.34000000000037, average score: -15.7, best score: -5.17, epsilon: 1.00, steps: 185934
episode: 248, score: 56.19000000000037, average score: -14.5, best score: -5.17, epsilon: 1.00, steps: 186696
episode: 249, score: 23.234999999999275, average score: -13.8, best score: -5.17, epsilon: 1.00, steps: 188049
episode: 250, score: -24.189999999999884, average score: -14.2, best score: -5.17, epsilon: 1.00, steps: 188887
episode: 251, score: 96.0399999999994, average score: -13.5, best score: -5.17, epsilon: 1.00, steps: 189679
episode: 252, score: -23.83999999999954, average score: -13.1, best score: -5.17, epsilon: 1.00, steps: 190447
episode: 253, score: -23.74999999999993, average score: -12.8, best score: -5.17, epsilon: 1.00, steps: 191197
episode: 254, score: -43.40499999999957, average score: -12.8, best score: -5.17, epsilon: 1.00, steps: 191878
episode: 255, score: 44.13500000000075, average score: -12.0, best score: -5.17, epsilon: 1.00, steps: 193051
episode: 256, score: 46.31000000000013, average score: -11.7, best score: -5.17, epsilon: 1.00, steps: 193789
episode: 257, score: -25.204999999999764, average score: -11.3, best score: -5.17, epsilon: 1.00, steps: 194830
episode: 258, score: -72.47500000000072, average score: -12.2, best score: -5.17, epsilon: 1.00, steps: 195325
episode: 259, score: -52.83500000000084, average score: -12.4, best score: -5.17, epsilon: 1.00, steps: 195892
episode: 260, score: 33.96000000000021, average score: -12.6, best score: -5.17, epsilon: 1.00, steps: 197100
episode: 261, score: 25.090000000000018, average score: -12.1, best score: -5.17, epsilon: 1.00, steps: 198082
episode: 262, score: -33.86500000000095, average score: -12.7, best score: -5.17, epsilon: 1.00, steps: 198855
episode: 263, score: 37.01000000000004, average score: -11.8, best score: -5.17, epsilon: 1.00, steps: 199453
episode: 264, score: -72.7200000000008, average score: -12.7, best score: -5.17, epsilon: 1.00, steps: 199997
episode: 265, score: -63.84500000000055, average score: -13.0, best score: -5.17, epsilon: 1.00, steps: 200766
episode: 266, score: -33.20500000000006, average score: -13.0, best score: -5.17, epsilon: 1.00, steps: 201407
episode: 267, score: -33.58499999999971, average score: -14.0, best score: -5.17, epsilon: 1.00, steps: 202124
episode: 268, score: 35.490000000000244, average score: -12.9, best score: -5.17, epsilon: 1.00, steps: 203026
episode: 269, score: -32.98999999999981, average score: -12.5, best score: -5.17, epsilon: 1.00, steps: 203624
episode: 270, score: -33.16500000000009, average score: -12.1, best score: -5.17, epsilon: 1.00, steps: 204257
episode: 271, score: 67.51499999999986, average score: -11.2, best score: -5.17, epsilon: 1.00, steps: 204754
episode: 272, score: -65.42000000000097, average score: -11.5, best score: -5.17, epsilon: 1.00, steps: 205838
episode: 273, score: 14.159999999999485, average score: -10.8, best score: -5.17, epsilon: 1.00, steps: 207006
episode: 274, score: -34.48500000000036, average score: -11.4, best score: -5.17, epsilon: 1.00, steps: 207903
episode: 275, score: -23.375000000000306, average score: -11.4, best score: -5.17, epsilon: 1.00, steps: 208578
episode: 276, score: 26.210000000000257, average score: -11.4, best score: -5.17, epsilon: 1.00, steps: 209336
episode: 277, score: -33.514999999999645, average score: -11.1, best score: -5.17, epsilon: 1.00, steps: 210039
episode: 278, score: 16.150000000000155, average score: -10.4, best score: -5.17, epsilon: 1.00, steps: 210809
