episode: 2, average score: 30.1, best score: 46.08, steps: 2005
episode: 5, average score: 13.1, best score: 46.08, steps: 5255
episode: 5, average score: 13.1, best score: 46.08, steps: 5305
episode: 5, average score: 13.1, best score: 46.08, steps: 5355
episode: 6, average score: -2.8, best score: 46.08, steps: 5405
episode: 6, average score: -2.8, best score: 46.08, steps: 5455
episode: 6, average score: -2.8, best score: 46.08, steps: 5505
episode: 6, average score: -2.8, best score: 46.08, steps: 5555
episode: 6, average score: -2.8, best score: 46.08, steps: 5605
episode: 6, average score: -2.8, best score: 46.08, steps: 5655
episode: 6, average score: -2.8, best score: 46.08, steps: 5705
episode: 6, average score: -2.8, best score: 46.08, steps: 5755
episode: 6, average score: -2.8, best score: 46.08, steps: 5805
episode: 6, average score: -2.8, best score: 46.08, steps: 5855
episode: 6, average score: -2.8, best score: 46.08, steps: 5905
episode: 6, average score: -2.8, best score: 46.08, steps: 5955
episode: 6, average score: -2.8, best score: 46.08, steps: 6005
episode: 6, average score: -2.8, best score: 46.08, steps: 6055
episode: 6, average score: -2.8, best score: 46.08, steps: 6105
episode: 6, average score: -2.8, best score: 46.08, steps: 6155
episode: 6, average score: -2.8, best score: 46.08, steps: 6205
episode: 6, average score: -2.8, best score: 46.08, steps: 6255
episode: 6, average score: -2.8, best score: 46.08, steps: 6305
episode: 7, average score: -5.9, best score: 46.08, steps: 6355
episode: 7, average score: -5.9, best score: 46.08, steps: 6405
episode: 7, average score: -5.9, best score: 46.08, steps: 6455
episode: 7, average score: -5.9, best score: 46.08, steps: 6505
episode: 7, average score: -5.9, best score: 46.08, steps: 6555
episode: 7, average score: -5.9, best score: 46.08, steps: 6605
episode: 7, average score: -5.9, best score: 46.08, steps: 6655
episode: 7, average score: -5.9, best score: 46.08, steps: 6705
episode: 7, average score: -5.9, best score: 46.08, steps: 6755
episode: 7, average score: -5.9, best score: 46.08, steps: 6805
episode: 7, average score: -5.9, best score: 46.08, steps: 6855
episode: 7, average score: -5.9, best score: 46.08, steps: 6905
episode: 7, average score: -5.9, best score: 46.08, steps: 6955
episode: 8, average score: -13.1, best score: 46.08, steps: 7005
episode: 8, average score: -13.1, best score: 46.08, steps: 7055
episode: 8, average score: -13.1, best score: 46.08, steps: 7105
episode: 8, average score: -13.1, best score: 46.08, steps: 7155
